seed	dq	dp	de	dgf	dgm	dg1	dg2	dg3	dg4	pf	pm	p1	p2	p3	p4	blue_daf	blue_dam	blue_da1	blue_da2	blue_da3	blue_da4	pink_daf	pink_dam	pink_da1	pink_da2	pink_da3	pink_da4	blue_laf	blue_lam	blue_la1	blue_la2	blue_la3	blue_la4	pink_laf	pink_lam	pink_la1	pink_la2	pink_la3	pink_la4	pedid	xr1	blue_recomb	x1	xr2	pink_recomb	x2	x	i	dallele	lallele	Y
369857384	0.4	0.6	0.1	3	2	2	3	3	2	0.7449311404	0.0526349894	0.032711748	0.6602298525	0.8925135042	0.0406479053	2	2	2	2	2	2	2	1	1	2	2	1	6	5	2	2	6	2	2	1	1	5	5	5	25	0.1671284675	0	0.5326244875	0.0185169135	1	0.8626211508	0.4064790527	1	2	2	1
874432160	0.4	0.6	0.1	2	2	2	2	2	1	0.1059789053	-0.131471402	-0.180264561	0.0327435942	-0.144481025	-0.814159056	1	1	2	1	2	1	2	2	1	2	1	1	6	2	3	6	3	6	3	4	2	2	2	2	26	0.1527262056	0	0.126448948	0.8256781287	0	0.0331713702	-2.141590557	1	1	6	0
874432160	0.4	0.6	0.1	2	2	2	2	2	1	0.1059789053	-0.131471402	-0.180264561	0.0327435942	-0.144481025	-0.814159056	1	1	2	1	2	1	2	2	1	2	1	1	6	2	3	6	3	6	3	4	2	2	2	2	26	0.1527262056	0	0.126448948	0.8256781287	0	0.0331713702	-2.141590557	1	2	3	1
1104325215	0.4	0.6	0.1	1	2	1	1	2	1	-0.653861336	-0.080770199	-0.69539881	-0.529817814	0.0036929335	-0.625854212	1	1	1	1	1	1	1	2	1	1	2	1	4	6	5	5	4	4	5	4	6	6	4	6	27	0.0889435206	1	0.5179982421	0.4312943865	0	0.0274654646	-0.258542118	1	1	4	0
1104325215	0.4	0.6	0.1	1	2	1	1	2	1	-0.653861336	-0.080770199	-0.69539881	-0.529817814	0.0036929335	-0.625854212	1	1	1	1	1	1	1	2	1	1	2	1	4	6	5	5	4	4	5	4	6	6	4	6	27	0.0889435206	1	0.5179982421	0.4312943865	0	0.0274654646	-0.258542118	1	1	5	0
1442967529	0.4	0.6	0.1	2	1	2	2	2	1	-0.017885596	-0.602130592	0.1053955702	-0.031799918	0.1325068311	-0.658124427	2	1	2	2	2	1	1	1	1	1	1	1	5	5	5	5	5	5	5	3	5	5	5	3	28	0.2401338859	0	0.5763605836	0.4157217366	0	0.7328873918	-0.581244271	1	2	5	1
1442967529	0.4	0.6	0.1	2	1	2	2	2	1	-0.017885596	-0.602130592	0.1053955702	-0.031799918	0.1325068311	-0.658124427	2	1	2	2	2	1	1	1	1	1	1	1	5	5	5	5	5	5	5	3	5	5	5	3	28	0.2401338859	0	0.5763605836	0.4157217366	0	0.7328873918	-0.581244271	1	1	5	0
269415206	0.4	0.6	0.1	2	2	3	2	2	2	-0.027265748	0.1212383959	0.785358764	0.0008555653	-0.021526656	0.0497752428	1	2	2	1	1	1	2	1	2	2	2	2	6	6	3	6	6	6	3	3	3	6	6	6	29	0.3151075781	0	0.0688731363	0.7194344512	0	0.3738071133	0.4977524282	1	1	6	0
269415206	0.4	0.6	0.1	2	2	3	2	2	2	-0.027265748	0.1212383959	0.785358764	0.0008555653	-0.021526656	0.0497752428	1	2	2	1	1	1	2	1	2	2	2	2	6	6	3	6	6	6	3	3	3	6	6	6	29	0.3151075781	0	0.0688731363	0.7194344512	0	0.3738071133	0.4977524282	1	2	3	1
796374574	0.4	0.6	0.1	2	2	2	2	2	2	0.0866193163	-0.118483518	-0.096036769	0.1301767335	-0.032305755	-0.091323011	2	2	1	1	2	2	1	1	2	2	1	1	5	5	5	3	5	5	3	2	5	5	5	2	30	0.7043623932	0	0.246301178	0.2601327357	0	0.6099108772	-0.913230115	1	2	5	1
